,index,Results,GAME_DATE,HOME,AWAY,Odds1,Odds2,Score,prediction
222,967,0.0,2009-04-08,GSW,MIN,1.36,3.27,97:105,0.6606312990188599
223,5717,1.0,2014-02-26,POR,BKN,1.81,2.05,124:80,0.6138590574264526
224,1102,1.0,2009-11-29,DET,ATL,3.27,1.35,94:88,0.4541453719139099
225,2609,1.0,2011-01-29,MIN,TOR,1.49,2.7,103:87,0.7125561237335205
226,13623,1.0,2022-01-11,CHI,DET,1.09,8.76,133:87,0.8320930600166321
227,12387,1.0,2021-01-30,CHA,MIL,4.42,1.23,126:114,0.33070701360702515
228,5242,1.0,2013-12-20,CLE,MIL,1.27,4.0,114:111 ,0.7646487951278687
229,4441,1.0,2013-01-27,LAL,OKC,2.41,1.61,105:96,0.4066251218318939
230,12205,1.0,2020-08-02,HOU,MIL,2.7,1.5,120:116,0.4836055636405945
231,10094,1.0,2018-03-13,UTA,DET,1.24,4.29,110:79,0.8160684108734131
232,9004,1.0,2017-03-13,SAC,ORL,2.09,1.79,120:115,0.6228732466697693
233,10728,0.0,2019-01-04,POR,OKC,1.88,1.96,109:111,0.44661787152290344
234,8912,0.0,2017-03-01,SAC,BKN,1.72,2.2,100:109,0.7875759601593018
235,2249,1.0,2010-12-08,SAC,WAS,1.54,2.56,116:91,0.5632006525993347
236,4382,1.0,2013-01-19,LAC,WAS,1.08,8.86,94:87,0.8864614963531494
237,2252,1.0,2010-12-09,DAL,BKN,1.13,6.23,102:89,0.9175949096679688
238,11546,0.0,2019-12-06,CLE,ORL,2.68,1.5,87:93,0.33178287744522095
239,10618,1.0,2018-12-19,TOR,IND,1.54,2.59,99:96,0.6573632955551147
240,12799,0.0,2021-03-29,SAS,SAC,1.73,2.17,115:132,0.48373910784721375
241,6228,0.0,2014-12-08,BKN,CLE,4.26,1.24,88:110,0.4312978684902191
242,13692,0.0,2022-01-19,WAS,BKN,1.89,1.94,118:119,0.4454743266105652
243,1296,1.0,2009-12-26,MIN,WAS,2.15,1.74,101:89,0.42007631063461304
244,7337,1.0,2015-12-12,CHI,NOP,1.31,3.67,98:94,0.6711423993110657
245,5566,1.0,2014-02-02,BOS,ORL,1.38,3.19,96:89,0.6180452108383179
246,8793,0.0,2017-02-01,DEN,MEM,2.51,1.58,99:119,0.551493763923645
247,6063,0.0,2014-04-14,ATL,CHA,2.68,1.5,93:95,0.6510772705078125
248,1931,1.0,2010-03-25,POR,DAL,1.6,2.4,101:89,0.6377518773078918
249,13882,0.0,2022-02-15,MIA,DAL,1.5,2.74,99:107,0.546125590801239
250,8897,0.0,2017-02-27,PHI,GSW,11.06,1.06,108:119,0.36654698848724365
251,3458,1.0,2012-02-22,LAC,DEN,1.21,4.57,103:95,0.5959333181381226
252,5159,0.0,2013-12-08,LAL,TOR,1.36,3.26,94:106,0.6806322336196899
253,7153,0.0,2015-04-15,MIN,OKC,11.33,1.06,113:138,0.4755750298500061
254,9707,1.0,2018-01-12,WAS,ORL,1.15,6.08,125:119,0.8642054796218872
255,5592,1.0,2014-02-05,SAC,TOR,1.9,1.93,109:101,0.48870137333869934
256,2145,1.0,2010-11-25,ATL,WAS,1.3,3.66,116:96,0.7612447738647461
257,328,1.0,2009-01-06,PHI,HOU,2.15,1.7,104:96,0.6069201231002808
258,10998,1.0,2019-02-11,MIN,LAC,1.6,2.44,130:120,0.6262484788894653
259,10157,0.0,2018-03-22,ORL,PHI,4.04,1.27,98:118,0.4150879681110382
260,2021,1.0,2010-04-07,HOU,UTA,2.63,1.51,113:96,0.4615361988544464
261,9704,1.0,2018-01-12,MIN,NYK,1.23,4.38,118:108,0.8534339070320129
262,5783,1.0,2014-03-07,NYK,UTA,1.33,3.49,108:81,0.6719849109649658
263,824,1.0,2009-03-20,BKN,MIA,2.03,1.85,96:88,0.6590563654899597
264,1667,0.0,2010-02-19,GSW,UTA,2.76,1.47,89:100,0.4134262800216675
265,11594,0.0,2019-12-13,ATL,IND,3.01,1.41,100:110,0.39312776923179626
266,5098,0.0,2013-11-29,TOR,MIA,3.16,1.39,83:90,0.3269425332546234
267,1756,1.0,2010-03-02,LAL,IND,1.1,7.45,122:99,0.7150605916976929
268,5683,1.0,2014-02-22,CHA,MEM,2.28,1.67,92:89,0.6524488925933838
269,10650,1.0,2018-12-25,BOS,PHI,1.5,2.71,121:114 ,0.6388440132141113
270,3006,1.0,2011-03-28,CHA,MIL,1.96,1.86,87:86,0.6066404581069946
271,11818,0.0,2020-01-14,GSW,DAL,3.84,1.28,97:124,0.42077210545539856
272,1224,0.0,2009-12-16,MIL,LAL,2.85,1.44,106:107 ,0.4442262351512909
273,10202,1.0,2018-03-28,PHI,NYK,1.07,10.51,118:101,0.8410584926605225
274,5691,0.0,2014-02-23,DEN,SAC,1.45,2.86,95:109,0.6198619604110718
275,6948,1.0,2015-03-20,CLE,IND,1.15,5.82,95:92,0.7097986340522766
276,6444,1.0,2015-01-05,PHI,CLE,2.69,1.5,95:92,0.3656449615955353
277,13221,1.0,2021-11-14,LAL,SAS,1.73,2.17,114:106,0.49543964862823486
278,623,1.0,2009-02-21,DAL,SAC,1.06,9.45,116:95,0.8404097557067871
279,8133,0.0,2016-04-03,BKN,NOP,1.71,2.22,87:106,0.4880121648311615
280,10402,0.0,2018-11-20,NYK,POR,3.39,1.34,114:118,0.3494991064071655
281,11427,1.0,2019-11-19,LAL,OKC,1.16,5.63,112:107,0.7686147689819336
282,11923,1.0,2020-01-28,PHI,GSW,1.09,8.05,115:104,0.7748972177505493
283,245,0.0,2008-12-25,PHX,SAS,1.72,2.12,90:91,0.5018402338027954
284,337,1.0,2009-01-07,POR,DET,1.7,2.15,84:83,0.7326312065124512
285,11402,0.0,2019-11-15,GSW,BOS,3.41,1.34,100:105,0.2610592842102051
286,7275,1.0,2015-12-04,DET,MIL,1.36,3.31,102:95,0.6713859438896179
287,11661,0.0,2019-12-21,SAS,LAC,3.41,1.34,109:134,0.42087873816490173
288,5561,0.0,2014-02-01,NYK,MIA,2.73,1.49,91:106,0.5835350751876831
289,1800,1.0,2010-03-08,CLE,SAS,1.44,2.85,97:95,0.8369951248168945
